id,Controle_S_41,Controle_S_40,Controle_S_39,AB_S_19,AB_S_20,AB_S_27,AB_S_28,AB_S_34,AB_S_38,AB_S_9,Alagille_S_13,Alagille_S_16,Alagille_S_2,Alagille_S_5,Alagille_S_6,Alagille_S_7,Alagille_S_8,BSEP_S_15,BSEP_S_17,BSEP_S_18,BSEP_S_24,BSEP_S_36,FIC1_S_23,MDR3_S_1,MDR3_S_14,MDR3_S_31,MDR3_S_33,TJP2_S_25,TJP2_S_26
ENSG00000000003,1117.85,920.17,1522,1123.01,1116,727,1388.02,796.08,1098.02,1863.03,980.15,866,1266.14,1708.02,549.29,932.06,1040,958,616.18,1056.01,1395.11,1229.99,1382.27,932.03,1149.94,1130.02,910.11,920.26,885.47
ENSG00000000005,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ENSG00000000419,480,361,341,420,680,266,493,391,410,539,334,314,480,490,431,438,321,396,486,495,699,464,440,674,517,464,232,459,475
ENSG00000000457,262.54,231.26,118.07,192.39,189.69,101.72,218.03,104.07,214.04,229.11,166.61,200.26,134.06,346.78,149.48,179.83,229.16,215.55,178.28,172.54,279.43,219.96,265.97,210.39,287.15,186.16,143.95,151.17,178.94
ENSG00000000460,42.42,89.83,71.6,57.21,46.23,10.62,41.15,33.98,62.96,58.83,15.75,13.56,33.97,32.71,37.48,34.03,54.22,41.54,28.22,41.87,39.83,80.59,69.83,79.5,63.08,37.43,41.29,36.83,28.48
ENSG00000000938,104,123,127,182,156,121,111,120,178,286,151,174,81,90,478,457,124,234,377,284,181,121,149,1413,358,240,105,154,449
ENSG00000000971,16250.3,22323.01,31736.37,17587.5,24664.05,10942.96,16936.07,16125.24,25586.85,23535.26,13083.02,18153.81,15147.91,27431.34,20807.99,21005.99,22688.13,23100.35,17003.91,16560.43,37672.36,27630.63,23346.69,20381.92,16609.19,15954.26,17451.64,17127.62,19213.05
ENSG00000001036,1098,719.98,793.52,1063.22,1476.73,556.53,974.65,798.89,1134.53,1177.12,561.87,615.86,906.69,751.36,711.82,917.1,1002.67,1134.93,1295.24,864.3,1238.6,637.18,833.15,1251.36,850.48,959.49,678.5,1061.41,1163.03
ENSG00000001084,817.32,1717.09,1793.63,1818.79,1559.03,1109.25,1354.1,889.43,1971.13,1535.33,1469.88,1481.68,2701.43,2259.73,644.9,1531.53,727.66,1145.8,1015.88,648.02,1770.09,2840.34,1308.99,1131.32,1392.46,1035.52,915.38,1361.92,1133.39
ENSG00000001167,172,143,184,331,274,113,194,112,208,466.96,182,148.95,222,205,288,337,208,431,262,304,250,254,270,347,313,233,87,252,403
ENSG00000001460,18.11,29.85,19.85,16.02,46.14,7,8,32.43,25,40.34,15.98,5,16.1,31.28,30.55,28.08,29.49,25.01,31.63,23.79,24.02,56.29,46.43,19.03,29.78,12,29.53,16.01,34.06
ENSG00000001461,75,83,46,63,80,27,67,71.99,123,154.67,43,50,33.97,102.21,125.92,110.96,62.92,118,72,71.98,140.98,65.95,113,104,93.97,82,64,42,90
ENSG00000001497,314,262,180,301,342,217,276,207,352,376,238,256,286,251,333,322,224,331,304,259,338,326,311,558,388,324,231,249,257
ENSG00000001561,282,329,219,160,275,99,195,125,182,304,132,144,136,226,201,176,247,262,217,293,308,142,185,199,196,177,134,255,304
ENSG00000001617,112,131,75,95,145,81,167,103,103,206,61,107,20,82,378,197,99,240,307,328,203,75,132,456,156,178,111,87,198
ENSG00000001626,23,29.12,57,51,201,213,165,507,251,2143,2,1,1,3,91,1,73,790,425,1448,181,241,300,49,418.93,89,96,113,1520
ENSG00000001629,227,236,244,251,522,173,244,278,284,667,231,267,331,368,390,379,307,369,303,422,464,339,357,514,424,315,228,356,398
ENSG00000001630,846.29,4555.03,1858.86,1260.16,1342.23,711.34,1661.37,577.21,1228.02,1103.86,1169.67,1037.58,1493.74,2233.68,849.51,1267.93,1278.72,1072.37,868.57,1294.17,1231.36,3241.32,991.01,1095.43,1955.96,592.69,982.9,1854.48,907.91
ENSG00000001631,197.66,257.57,128,193,297.22,144,184.35,169.09,218.41,343.99,164,184.47,225.64,318,287.64,303.25,248.35,261,186.16,260.6,268.99,268,249,403.66,312.66,190.38,192,249.64,229.25
ENSG00000002016,75,57.09,19.19,48,45,18,34,34,32,56,42.03,44,70,104,42,61,57,75.15,27.61,56,32,66,60,65.59,52.12,63,20,50,35
ENSG00000002079,0,0,0,0,1,1,0,0,3,1.37,0,0,0,0,2,0,0,0,1,1,2,0,3,3,1,0,0,0,0
ENSG00000002330,260,345,261,243,220,271,275,439,278.29,485.74,302,201.74,250,334,234,334,295.43,303,264,224,497.23,522.49,311,417.57,287.7,224,239.8,318,332
ENSG00000002549,2155,2355.95,2565,1941,3554,1704,2390,1440,2491,2045,1400,2575,1930,5183,2185.95,2446,4752,3190,2545,2018,3516,2506,2896,2605,2774,3559,1692,4106,1619
ENSG00000002586,2016,1757,1447,1857,2548,1811,2153,1828,2386,2644,1968,1230,1737,1709,3425,2772,1839,2228,2331,1595,2937,2120,2468,3132,2020,1765,1687,1842,2079
ENSG00000002587,2,10.04,12,24.13,77.37,43.12,26.07,69.44,42.21,227.24,2,13.12,7.02,8.01,122.32,86.44,23.34,75.01,121.19,256.22,28,21.1,38.09,141.43,74.77,32.14,35.06,8.01,361.12
ENSG00000002726,34,1,36,0,13,1,21,36,17,18,7,23,4,13,4,3,11,0,1,5,8,0,18,5,10,4,0,1,4
ENSG00000002745,0,0,0,0,0,1,0,0,0,0,5,3,2,0,2,4,2,1,1,1,0,1,1,0,1,1,0,3,0
ENSG00000002746,2.01,16.93,14.58,0,10,41.19,71.79,11,5.31,4.01,122.74,0,0.29,3.12,8,10,5,9.06,4,5.13,18.34,2.02,4.02,13.33,121.38,6,5,1,12
ENSG00000002822,79,131,82,98,168,127,166,134.78,200.96,196,135,108,61,110.96,135,164,143,148,197,117,235,186,130,212,193,166,139.97,125,120
ENSG00000002834,1446.05,1426.32,1124.59,1727.32,3167.54,1058.82,2152.13,1516.75,2807.7,2780.75,2146.53,1686.92,2691.2,2966.34,2286.8,3027.08,1691.43,3835.44,2502.66,1944.84,2982.3,3385.31,2285.65,3037.58,2989.87,1596.46,1957.96,2146.72,3037.58
ENSG00000002919,233,178,88,143.3,254.01,86,154.88,138.99,195.55,244,179,181,218,280,246.24,275.01,180,235,257.07,207,252,292,171.54,366.72,318,154,162.99,218,260
ENSG00000002933,5629,7277.99,8099,7153,7652.32,3871,8130,5896,7082.28,8655.97,6503,4540.71,8930.65,7001,2737.25,7193.69,7541,6895,5332,3173,7329.21,9835,7856,4828,5906.99,4067,5787.4,6199,6202
ENSG00000003056,1043.12,521.69,964.81,918.01,1815.99,495.96,983.58,760.35,1270.21,1751.27,835.26,1089.75,963.46,1336.93,1692.78,1654.85,1174,1701.75,1372.06,1376.18,1736.71,1096.7,1109.58,2418.95,1613.57,1078.79,916.78,1203.98,1247.23
ENSG00000003096,13,89,29,12.99,47,27,33,33,68,88,33.99,20,32,15,50,62,29,33.03,36.99,27,46,44,38,61,54.01,35,26,9,57
ENSG00000003137,118,35,2,13,10,6,44,14,18,13,11,9,1,9,32,9,2,28,21,7,53,6,5,24,7,13,10,1,10
ENSG00000003147,9,125,65,247,229.13,29,179.88,67,66.26,262,18.01,63,158.98,150,148,41.95,51,177,62.98,188.81,231,191.98,166.61,48,290,33,35,166.97,240
ENSG00000003249,26,26,22,327,284,248,242,265,325,319,594.98,261,1280.46,856.49,311,650,443.15,365,298.09,161.01,285,1396,1286.11,167.09,340.67,90.24,216,847,311.49
ENSG00000003393,255,523,395,400,655,211,353,310,367,591,275,365,457,526,341,527,340,404,410,343,514,493,398,456,516,329,248,291,411
ENSG00000003400,111.79,97.26,77.54,148.92,139.36,66.83,118.68,106.64,122.71,214.36,113,166.67,90.91,183.52,151,185.92,178.43,305.84,107.1,79.69,164.13,168.58,241.81,124.5,235.76,74.88,107.92,156.69,98.36
ENSG00000003402,1057.1,1334.84,1367.17,1452.54,1550.61,789.1,1278.98,1200.28,1414.07,1730.08,1188.37,1282.14,1618.72,1833.84,2174.67,1856.38,1280.08,1464.57,1405.88,1569.44,1588.75,1531.37,1524.04,3129.33,1919.63,1451.64,913.11,1078.56,1780.38
ENSG00000003436,2703.61,1744.91,2615.82,4681.05,4793.98,1934.73,3621.42,3977.88,4988.43,5901.61,3253.02,2812.5,4574.48,4089.42,3051.86,3512.92,3794.56,2662.21,3321.92,2913.79,9391.51,4307.37,4896.29,3693.84,2604.24,4020.4,2403.78,5375.74,4304.77
ENSG00000003509,252.22,183.85,123.71,158.69,209.83,88.34,242.42,130.76,190.95,197.62,127.27,131.82,152.99,214.67,173.88,175.59,120.69,167.14,142.33,149.45,162.8,178.92,128.28,329.15,193.91,112.43,86.01,121.24,133.68
ENSG00000003756,487.36,703.89,285.15,522.56,854.65,333.9,429.3,621.37,612.07,1217.27,639.98,449.21,631.13,669.03,1007.52,951.72,665.19,705.08,716.2,594.5,732.64,707.2,750.46,1718.29,923.22,644.41,382.17,565.36,813.86
ENSG00000003987,20,29.76,16,18.27,30.02,9,5,11.66,16.92,22.36,17.24,9.74,22.39,32.9,18.12,13.67,10.65,19.47,17.77,15.29,21.05,15.34,21.19,34.85,30.87,34.9,10.63,13.07,11.91
